1423,2015-03-18 18:48:23,60,46,35,39
1435,2015-03-18 18:49:41,41,46,35,39
5592,2015-03-28 18:56:53,4,58,35,39
5634,2015-03-29 13:52:14,3,58,35,39
4802,2015-03-29 13:52:33,7,58,35,37
4683,2015-03-30 10:40:44,6,58,35,43
6803,2015-04-06 10:23:53,9,62,35,39
6799,2015-04-06 10:38:22,24,62,35,39
6798,2015-04-04 17:58:38,5,62,35,39
6801,2015-04-04 17:58:44,0,62,35,39
6798,2015-04-04 17:58:53,0,62,35,39
6801,2015-04-04 17:58:50,4,62,35,39
6803,2015-04-04 17:58:56,1,62,35,39
6800,2015-04-04 17:58:58,0,62,35,39
6800,2015-04-04 17:59:00,1,62,35,39
6800,2015-04-04 17:59:03,0,62,35,39
6798,2015-04-04 17:59:01,3,62,35,39
6803,2015-04-04 17:59:04,3,62,35,39
6798,2015-04-04 17:59:10,1,62,35,39
6803,2015-04-04 17:59:18,4,62,35,39
6798,2015-04-04 17:59:25,1,62,35,39
6798,2015-04-04 17:59:29,5,62,35,39
6801,2015-04-04 17:59:46,1,62,35,39
6801,2015-04-04 17:59:50,3,62,35,39
6800,2015-04-04 17:59:53,2,62,35,39
6800,2015-04-04 18:00:24,1,62,35,39
1429,2015-03-19 20:20:40,0,46,35,39
5594,2015-04-03 10:30:11,5,58,35,39
5634,2015-04-03 12:58:36,31,58,35,39
5632,2015-04-03 12:59:10,24,58,35,39
5631,2015-04-03 12:59:37,14,58,35,39
5627,2015-04-03 13:00:10,3,58,35,39
5638,2015-04-03 13:00:30,3,58,35,39
5600,2015-04-03 13:03:09,27,58,35,39
5612,2015-04-03 13:03:48,52,58,35,39
5616,2015-04-03 13:04:50,9,58,35,39
6762,2015-04-04 11:15:52,102,62,35,39
6762,2015-04-04 11:17:59,30,62,35,39
6796,2015-04-04 11:31:13,101,62,35,39
6792,2015-04-04 12:02:52,12,62,35,39
1429,2015-03-16 13:00:26,4,46,35,39
1458,2015-03-16 20:18:00,48,46,35,39
1478,2015-03-19 10:15:37,6,46,35,39
1466,2015-03-19 10:16:19,138,46,35,39
1465,2015-03-19 10:18:40,42,46,35,39
1464,2015-03-19 10:19:24,64,46,35,39
1461,2015-03-19 10:20:40,105,46,35,39
1459,2015-03-20 10:13:19,43,46,35,39
6806,2015-04-04 13:05:32,27,62,35,39
6799,2015-04-04 13:06:23,149,62,35,39
6804,2015-04-04 13:09:00,79,62,35,39
6802,2015-04-04 13:10:21,11,62,35,39
5591,2015-03-28 12:17:59,2,58,35,39
5629,2015-03-28 12:18:15,20,58,35,39
5630,2015-03-28 12:18:39,7,58,35,39
5627,2015-03-28 12:18:50,6,58,35,39
5634,2015-03-28 12:19:07,32,58,35,39
4781,2015-03-28 12:20:27,42,58,35,37
6805,2015-04-04 13:02:07,135,62,35,39
1467,2015-03-13 15:38:12,0,46,35,39
1467,2015-03-13 15:38:12,3,46,35,39
1467,2015-03-13 15:38:15,1,46,35,39
1467,2015-03-13 15:38:17,2,46,35,39
1467,2015-03-13 15:38:18,0,46,35,39
1459,2015-03-13 15:38:38,2,46,35,39
1469,2015-03-13 15:39:43,7,46,35,39
1467,2015-03-13 15:39:53,6,46,35,39
1466,2015-03-13 17:56:01,3,46,35,39
1463,2015-03-13 17:56:05,95,46,35,39
1463,2015-03-13 17:57:52,56,46,35,39
1467,2015-03-14 09:41:06,27,46,35,39
1461,2015-03-14 09:42:03,8,46,35,39
