1459,3/16/2015 10:21,12,35,39
1461,3/16/2015 10:22,92,35,39
2523,3/20/2015 10:24,2,35,38
2535,3/20/2015 12:53,197,35,38
2532,3/20/2015 12:56,109,35,38
2521,3/22/2015 14:37,23,35,38
2523,3/24/2015 15:15,34,35,38
5593,3/29/2015 10:21,6,35,39
5598,3/31/2015 15:53,3,35,39
5632,4/1/2015 13:46,6,35,39
5593,4/1/2015 13:47,4,35,39
5603,4/1/2015 14:06,17,35,39
5621,4/3/2015 11:00,1,35,39
6764,4/5/2015 10:11,7,35,39
6821,4/5/2015 10:11,6,35,39
6808,4/5/2015 10:11,25,35,39
6807,4/5/2015 10:23,4,35,39
6809,4/6/2015 10:09,10,35,39
6770,4/6/2015 10:56,3,35,39
6799,4/8/2015 14:20,132,35,39
6805,4/8/2015 14:23,84,35,39
6805,4/8/2015 14:26,0,35,39
6805,4/8/2015 14:44,1,35,39
1425,3/14/2015 8:40,14,35,39
1463,3/15/2015 14:21,43,35,39
1456,3/16/2015 19:03,35,35,39
1425,3/18/2015 11:40,45,35,39
1462,3/18/2015 11:43,19,35,39
1460,3/18/2015 11:44,132,35,39
1462,3/12/2015 8:49,131,35,39
1468,3/12/2015 8:59,9,35,39
1423,3/12/2015 10:05,3,35,39
1425,3/12/2015 10:47,6,35,39
1468,3/12/2015 15:57,6,35,39
1459,3/13/2015 19:55,4,35,39
1461,3/13/2015 19:56,101,35,39
1465,3/13/2015 19:58,85,35,39
1464,3/13/2015 19:59,19,35,39
1460,3/13/2015 20:00,96,35,39
1462,3/13/2015 20:01,131,35,39
1462,3/15/2015 12:38,44,35,39
1424,3/15/2015 12:56,24,35,39
1468,3/15/2015 14:54,3,35,39
1425,3/16/2015 7:40,18,35,39
1469,3/16/2015 7:40,3,35,39
1453,3/16/2015 7:44,3,35,39
1453,3/16/2015 19:21,21,35,39
1460,3/17/2015 12:45,88,35,39
1461,3/17/2015 12:47,12,35,39
1425,3/20/2015 19:31,51,35,39
1454,3/20/2015 19:35,35,35,39
1467,3/20/2015 19:40,3,35,39
1469,3/20/2015 19:40,13,35,39
2520,3/24/2015 14:57,9,35,38
5595,4/2/2015 5:11,3,35,39
5592,4/3/2015 16:40,103,35,39
5631,4/3/2015 17:58,41,35,39
5634,4/3/2015 17:59,105,35,39
5634,4/3/2015 18:01,8,35,39
5621,4/3/2015 18:01,4,35,39
5648,4/3/2015 18:02,33,35,39
5644,4/3/2015 18:02,2,35,39
6801,4/7/2015 12:28,4,35,39
1447,3/12/2015 20:29,3,35,39
1428,3/13/2015 12:37,3,35,39
1430,3/13/2015 12:38,20,35,39
1423,3/13/2015 12:38,9,35,39
1460,3/13/2015 12:39,178,35,39
1464,3/13/2015 12:42,80,35,39
1465,3/13/2015 12:43,3,35,39
1465,3/13/2015 12:43,96,35,39
1461,3/13/2015 12:45,87,35,39
1413,3/13/2015 12:47,64,35,40
1428,3/13/2015 17:15,2,35,39
1454,3/13/2015 17:15,104,35,39
1453,3/13/2015 17:17,1,35,39
1472,3/13/2015 17:17,146,35,39
1471,3/13/2015 17:20,82,35,39
1467,3/13/2015 17:21,56,35,39
1459,3/13/2015 17:23,106,35,39
1466,3/14/2015 19:20,80,35,39
1466,3/14/2015 22:17,60,35,39
1466,3/15/2015 5:08,60,35,39
1466,3/15/2015 8:26,9,35,39
1454,3/15/2015 8:29,23,35,39
1453,3/15/2015 19:23,8,35,39
1475,3/16/2015 13:43,14,35,39
1471,3/16/2015 13:43,31,35,39
1467,3/16/2015 19:01,2,35,39
1425,3/16/2015 19:14,11,35,39
1459,3/16/2015 19:21,7,35,39
1803,3/16/2015 19:22,8,35,39
1453,3/16/2015 19:23,88,35,39
1454,3/16/2015 19:25,8,35,39
1467,3/17/2015 17:12,77,35,39
1471,3/17/2015 17:14,20,35,39
1431,3/18/2015 13:42,2,35,39
1467,3/18/2015 13:44,7,35,39
1442,3/18/2015 14:39,47,35,39
1441,3/18/2015 14:39,38,35,39
1466,3/20/2015 17:41,48,35,39
1466,3/20/2015 17:42,3,35,39
2521,3/22/2015 14:57,8,35,38
2529,3/22/2015 14:58,47,35,38
5592,3/28/2015 9:56,48,35,39
5630,3/28/2015 9:57,5,35,39
5632,3/28/2015 9:58,7,35,39
5627,3/28/2015 9:58,16,35,39
5629,3/28/2015 9:58,17,35,39
5628,3/28/2015 9:58,10,35,39
5631,3/28/2015 9:59,25,35,39
5634,3/28/2015 9:59,38,35,39
5632,3/28/2015 10:00,5,35,39
5633,3/28/2015 10:00,13,35,39
5634,3/28/2015 10:00,3,35,39
5634,3/28/2015 10:01,2,35,39
5592,4/1/2015 15:52,24,35,39
5591,4/1/2015 17:40,7,35,39
5591,4/1/2015 17:40,1,35,39
5591,4/1/2015 17:48,2,35,39
5591,4/1/2015 17:48,2,35,39
5591,4/1/2015 17:48,3,35,39
5596,4/1/2015 17:48,4,35,39
5593,4/1/2015 17:52,3,35,39
5591,4/1/2015 18:17,3,35,39
5631,4/1/2015 18:17,15,35,39
5634,4/1/2015 18:17,3,35,39
5627,4/1/2015 18:18,17,35,39
5591,4/1/2015 18:19,1,35,39
5635,4/1/2015 18:19,3,35,39
5635,4/1/2015 18:19,30,35,39
5636,4/1/2015 18:20,26,35,39
5640,4/1/2015 18:21,46,35,39
5642,4/1/2015 18:22,13,35,39
5638,4/1/2015 18:23,38,35,39
5595,4/4/2015 8:59,4,35,39
5594,4/4/2015 8:59,10,35,39
5593,4/4/2015 8:59,16,35,39
1467,3/12/2015 11:50,8,35,39
1464,3/12/2015 20:12,53,35,39
1463,3/12/2015 20:14,62,35,39
1425,3/12/2015 20:45,18,35,39
1467,3/12/2015 20:45,42,35,39
1471,3/12/2015 20:46,40,35,39
1476,3/12/2015 20:47,22,35,39
1478,3/12/2015 20:47,6,35,39
1454,3/12/2015 20:51,28,35,39
1454,3/12/2015 20:51,2,35,39
1456,3/12/2015 20:51,70,35,39
1455,3/12/2015 20:53,91,35,39
1431,3/12/2015 20:54,8,35,39
1432,3/12/2015 20:54,55,35,39
1423,3/13/2015 12:58,3,35,39
1463,3/13/2015 14:29,4,35,39
1453,3/20/2015 6:53,2,35,39
1459,3/20/2015 9:10,7,35,39
1468,3/20/2015 9:11,6,35,39
1454,3/20/2015 13:11,20,35,39
1453,3/20/2015 13:11,63,35,39
1453,3/20/2015 13:13,177,35,39
1458,3/20/2015 13:16,41,35,39
1454,3/20/2015 13:17,52,35,39
1456,3/20/2015 13:17,30,35,39
1457,3/20/2015 13:18,8,35,39
1432,3/20/2015 13:19,141,35,39
1432,3/20/2015 13:22,134,35,39
1432,3/20/2015 13:33,49,35,39
1463,3/20/2015 13:34,115,35,39
1423,3/20/2015 13:36,3,35,39
1480,3/20/2015 13:37,3,35,39
1461,3/20/2015 13:37,67,35,39
2520,3/22/2015 17:59,6,35,38
2532,3/22/2015 17:59,76,35,38
2532,3/22/2015 18:01,18,35,38
2529,3/22/2015 18:01,23,35,38
2520,3/22/2015 20:33,240,35,38
2533,3/22/2015 20:42,73,35,38
2533,3/22/2015 20:43,30,35,38
2533,3/22/2015 20:44,25,35,38
5592,3/26/2015 19:39,11,35,39
5628,3/26/2015 19:39,7,35,39
